"Título","Tipo","Procedencia","Fecha Publicación","URL Detalle"
"Correcció d’errades en la publicació acta de provisió concurs urgent plaça nº 9059 de profesor/a substitut/aOn diu “Herrera Fernández  José” ha de dir “Herrera Hernánde...","Personal docent i investigador","Informàtica","11/04/2024","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=66310"
"Concurs nº130/2024. PROPUESTA DE PROVISIÓN.  Plaça 2050 de Professor/a Titular de Universidad. Àrea de Ciència de la Computació i Intel·ligència Artificial.Proposta de provisió de la plaça Plaça 2050 de Professor/a T...","Personal docent i investigador","Informàtica","20/09/2024","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=72142"
"Concurs nº 3 plaça 7096 de Professor/a Permanent Laboral. Departament  d'Informàtica. Acta e informe de la primera fase  puntuaciones generals  desglosades i proposta de provisió.Concurs nº 3 plaça 7096 (Curs 2024-2025)de Professor/a Perma...","Personal docent i investigador","Informàtica","20/09/2024","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=72207"
"Concurs nº 130/2024 plaça 2050 de Professor/a Titular de Universidad. ACTA DE CONSTITUCIÓ I CRITERIS DE VALORACIÓ.Acte de constitució i publicació dels criteris de valoració ...","Personal docent i investigador","Informàtica","20/09/2024","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=71956"
"Concurs nº 3 plaça 7096 de Professor/a Permanent Laboral. ACTA DE CONSTITUCIÓ I CRITERIS DE VALORACIÓ.Acte de constitució i publicació dels criteris de valoració ...","Personal docent i investigador","Informàtica","20/09/2024","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=72192"
"Concurs nº131/2024 plaça 4219 de Professor/a Titular d’Universitat. ACTA DE CONSTITUCIÓ I CRITERIS DE VALORACIÓ.Acte de constitució i publicació dels criteris de valoració ...","Personal docent i investigador","Informàtica","20/09/2024","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=72187"
"Concurs nº 3 plaça 4399 de Professor/a Permanent Laboral. Departament  d'Informàtica. Acta e informe de la primera fase  puntuaciones generals  desglosades i proposta de provisió.Concurs nº 3 plaça 4399 (Curs 2024-2025)de Professor/a Perma...","Personal docent i investigador","Informàtica","20/09/2024","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=72166"
"Concurs nº 3 plaça 4399 de Professor/a Permanent Laboral. ACTA DE CONSTITUCIÓ I CRITERIS DE VALORACIÓ.Acte de constitució i publicació dels criteris de valoració ...","Personal docent i investigador","Informàtica","19/09/2024","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=71955"
"Concurs per a la provisió de plaçes 130/2024. Plaça 2050.Convocatòria nº 193 de Professor/a Titular d’Universitat a temps complet per resolució de 13 de juny de 2024 (BOE 22 de juny de 2024).Convocatòria per al acte de presentació de la plaça nº 2050 ...","Personal docent i investigador","Informàtica","10/09/2024","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=71542"
"Concurs 131/2024. Plaça nº 4219. Convocatòria 193 per a la provisió d’una plaça de Professor/a Titular de Universitat a temps complet per resolución del 13 de juny de 2024 (BOE 22 de juny de 2024)Convocatòria acte de presentació - Concurs 131/2024. Plaça n...","Personal docent i investigador","Informàtica","10/09/2024","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=71512"
"LLISTA DEFINITIVA admissió  i exclusió concurs places nº 7554 i 7555 per a Professorat Ajudant Doctor.LLISTA DEFINITIVA admissió  i exclusió concurs places nº 755...","Personal docent i investigador","Informàtica","09/09/2024","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=71482"
"CONCURS Nº3. Plaça 7096. Convocada per resolució 13 de juny de 2024( DOGV 17 JUNY DE 2024)Convocatòria per al acte de presentació de la plaça nº 7096 ...","Personal docent i investigador","Informàtica","09/09/2024","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=71451"
"Convocatòria per al acte de presentació de la plaça nº 4399 de Profesor Permanent LaboralConvocatòria per al acte de presentació de la plaça nº 4399 ...","Personal docent i investigador","Informàtica","05/09/2024","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=71306"
"Convocatòria acte de presentación : Concurs per a la provisió de places de Catedràtic/a d’Universitat per promoció interna: Concurs 43/2024. Plaça:5732. Convocatòria nº 192. Àrea: Ciència de la Computació i Intel·ligencia ArtificialConvocatòria acte de presentación : Concurs per a la provisi...","Personal docent i investigador","Informàtica","26/07/2024","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=70569"
"Llista provisonal admesos i exclosos. Professorat ajudant doctor. Places 7554-7555. Àrea Ciència de la Computació i Intel·ligencia Artificial. Departament d’Informàtica.Llista provisonal admesos i exclosos. Professorat ajudant do...","Personal docent i investigador","Informàtica","24/07/2024","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=70393"
"Concurs Urgent per a la provisió d’una plaça nº 9059 de profesor/a substitut/a. Àrea de Coneixement: Ciència de la Computació i Intel·ligència Artificial.Concurs Urgent per a la provisió d’una plaça nº 9059 de prof...","Personal docent i investigador","Informàtica","11/04/2024","https://webges.uv.es/uvTaeWeb/MuestraInformacionEdictoPublicoFrontAction.do?idEdictoSeleccionado=66309"
